arquivo_ll,otimizacao,dec_bytes,arquivo_o
00706.ll,O1,6000,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00706.ll/O1.o
00040.ll,O1,5940,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00040.ll/O1.o
00624.ll,O1,5940,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00624.ll/O1.o
00453.ll,O1,5934,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00453.ll/O1.o
00599.ll,O1,5946,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00599.ll/O1.o
00902.ll,O1,5940,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00902.ll/O1.o
00902.ll,O2,5978,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00902.ll/O2.o
00453.ll,O2,5972,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00453.ll/O2.o
00040.ll,O2,5978,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00040.ll/O2.o
00706.ll,O2,6038,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00706.ll/O2.o
00599.ll,O2,5984,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00599.ll/O2.o
00624.ll,O2,5978,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00624.ll/O2.o
00453.ll,O3,5972,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00453.ll/O3.o
00902.ll,O3,5978,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00902.ll/O3.o
00624.ll,O3,5978,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00624.ll/O3.o
00706.ll,O3,6038,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00706.ll/O3.o
00599.ll,O3,5984,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00599.ll/O3.o
00040.ll,O3,5978,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00040.ll/O3.o
00453.ll,Os,5972,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00453.ll/Os.o
00902.ll,Os,5978,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00902.ll/Os.o
00706.ll,Os,6038,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00706.ll/Os.o
00040.ll,Os,5978,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00040.ll/Os.o
00624.ll,Os,5978,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00624.ll/Os.o
00599.ll,Os,5984,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00599.ll/Os.o
00902.ll,Oz,5978,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00902.ll/Oz.o
00624.ll,Oz,5978,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00624.ll/Oz.o
00453.ll,Oz,5972,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00453.ll/Oz.o
00706.ll,Oz,6038,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00706.ll/Oz.o
00040.ll,Oz,5978,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00040.ll/Oz.o
00599.ll,Oz,5984,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00599.ll/Oz.o
00353.ll,O1,0,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00353.ll/O1.o
00353.ll,O2,0,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00353.ll/O2.o
00975.ll,O1,5938,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00975.ll/O1.o
00353.ll,O3,0,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados 00353.ll/O3.o
