arquivo_ll,otimizacao,dec_bytes,arquivo_o
extr_asn1_internal_test.c_test_standard_methods.ll,O1,0,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_asn1_internal_test.c_test_standard_methods.ll/O1.o
extr_skcipher.c_skcipher_set_needkey.ll,O1,108,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_skcipher.c_skcipher_set_needkey.ll/O1.o
extr_svc.c_gb_svc_add.ll,O1,32,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_svc.c_gb_svc_add.ll/O1.o
extr_tc-mips.c_normalize_constant_expr.ll,O1,166,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_tc-mips.c_normalize_constant_expr.ll/O1.o
extr_event.c_event_base_assert_ok_.ll,O1,80,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_event.c_event_base_assert_ok_.ll/O1.o
extr_super.c_ext4_group_desc_csum_verify.ll,O1,224,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_super.c_ext4_group_desc_csum_verify.ll/O1.o
extr_asn1_internal_test.c_test_standard_methods.ll,O2,0,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_asn1_internal_test.c_test_standard_methods.ll/O2.o
extr_skcipher.c_skcipher_set_needkey.ll,O2,108,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_skcipher.c_skcipher_set_needkey.ll/O2.o
extr_svc.c_gb_svc_add.ll,O2,32,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_svc.c_gb_svc_add.ll/O2.o
extr_event.c_event_base_assert_ok_.ll,O2,80,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_event.c_event_base_assert_ok_.ll/O2.o
extr_super.c_ext4_group_desc_csum_verify.ll,O2,224,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_super.c_ext4_group_desc_csum_verify.ll/O2.o
extr_tc-mips.c_normalize_constant_expr.ll,O2,166,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_tc-mips.c_normalize_constant_expr.ll/O2.o
extr_asn1_internal_test.c_test_standard_methods.ll,O3,0,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_asn1_internal_test.c_test_standard_methods.ll/O3.o
extr_svc.c_gb_svc_add.ll,O3,32,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_svc.c_gb_svc_add.ll/O3.o
extr_skcipher.c_skcipher_set_needkey.ll,O3,108,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_skcipher.c_skcipher_set_needkey.ll/O3.o
extr_event.c_event_base_assert_ok_.ll,O3,80,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_event.c_event_base_assert_ok_.ll/O3.o
extr_super.c_ext4_group_desc_csum_verify.ll,O3,224,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_super.c_ext4_group_desc_csum_verify.ll/O3.o
extr_tc-mips.c_normalize_constant_expr.ll,O3,166,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_tc-mips.c_normalize_constant_expr.ll/O3.o
extr_asn1_internal_test.c_test_standard_methods.ll,Os,0,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_asn1_internal_test.c_test_standard_methods.ll/Os.o
extr_skcipher.c_skcipher_set_needkey.ll,Os,108,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_skcipher.c_skcipher_set_needkey.ll/Os.o
extr_svc.c_gb_svc_add.ll,Os,32,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_svc.c_gb_svc_add.ll/Os.o
extr_event.c_event_base_assert_ok_.ll,Os,80,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_event.c_event_base_assert_ok_.ll/Os.o
extr_super.c_ext4_group_desc_csum_verify.ll,Os,224,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_super.c_ext4_group_desc_csum_verify.ll/Os.o
extr_tc-mips.c_normalize_constant_expr.ll,Os,166,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_tc-mips.c_normalize_constant_expr.ll/Os.o
extr_asn1_internal_test.c_test_standard_methods.ll,Oz,0,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_asn1_internal_test.c_test_standard_methods.ll/Oz.o
extr_svc.c_gb_svc_add.ll,Oz,32,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_svc.c_gb_svc_add.ll/Oz.o
