arquivo,dec_bytes
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_........libcommoncache.c_h2o_cache_get_duration.ll/melhor.ll,28
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_........libcoreproxy.c_compress_hint_to_enum.ll/melhor.ll,352
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_......driverspcipci.h_of_pci_get_max_link_speed.ll/melhor.ll,52
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_......fsbinfmt_elf.c_arch_check_elf.ll/melhor.ll,40
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_......uwbuwb.h_uwb_dev_addr_print.ll/melhor.ll,84
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_....graphicsvec4.h_vec4_divf.ll/melhor.ll,84
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_....libnetdatabufferbuffer.h_buffer_need_bytes.ll/melhor.ll,162
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_....utilhist.h_perf_hpp__should_skip.ll/melhor.ll,196
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_..dml_inline_defs.h_dml_abs.ll/melhor.ll,108
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_..git-compat-util.h_sane_iscase.ll/melhor.ll,146
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_..machine.h_machine__kernel_ip.ll/melhor.ll,84
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_..mt76.h_mt76_rev.ll/melhor.ll,28
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_..nfp_net_repr.h_nfp_repr_alloc.ll/melhor.ll,58
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_..nfpcorenfp_nsp.h_nfp_nsp_has_hwinfo_lookup.ll/melhor.ll,48
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_..pci.h_pci_ats_enabled.ll/melhor.ll,24
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_..schedsched.h_task_on_rq_queued.ll/melhor.ll,138
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_..utildarray.h_darray_insert_darray.ll/melhor.ll,80
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_..wifi.h_set_hal_start.ll/melhor.ll,48
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_..wifidriversnullwifi.c_nullwifi_ssid_is_online.ll/melhor.ll,8
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_22485.c_usage.ll/melhor.ll,105
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_24222.c_usage.ll/melhor.ll,115
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_8390p.c_eip_set_multicast_list.ll/melhor.ll,22
